g2-xl6-p1-t1,g2-xl5-p1-t1,g2-xl4-p1,g2-xl4-p1-t1,g2-xl3-p1,g2-xl3-p1-t1,g2-xl2-p1,g2-xl2-p1-t1,g2-xl1-xl1-xl1-p1-t6,g2-xl1-xl1-xl1-p1-t3,g2-xl1-xl1-p1-t6,g2-xl1-xl1-p1-t3,g2-xl1-p2-t6,g2-xl1-p2-t5,g2-xl1-p2-t4,g2-xl1-p2-t3,g2-xl1-p2-t2,g2-xl1-p2-t1,g2-xl1-p1,g2-xl1-p1-t6,g2-xl1-p1-t5,g2-xl1-p1-t4,g2-xl1-p1-t3,g2-xl1-p1-t2,g2-xl1-p1-t1,g2-m4-p1,g2-m4-p1-t1,g2-m3-p1,g2-m3-p1-t1,g2-m2-p1,g2-m2-p1-t1,g2-m1-p1,g2-m1-p1-t4,g2-m1-p1-t3,g2-m1-p1-t2,g2-m1-p1-t1,g2-m1-m1-p1-t1,g2-m1-m1-m1-p1-t1,g2-l4-p1,g2-l4-p1-t1,g2-l3-p1,g2-l3-p1-t1,g2-l2-p1,g2-l2-p1-t1,g2-l1-p1,g2-l1-p1-t4,g2-l1-p1-t3,g2-l1-p1-t2,g2-l1-p1-t1,g2-l1-l1-p1-t1,g2-l1-l1-l1-p1-t1,g1-xl4-p5,g1-xl4-p4,g1-xl4-p3,g1-xl4-p2,g1-xl4-p10,g1-xl4-p1,g1-xl3-p5,g1-xl3-p4,g1-xl3-p3,g1-xl3-p2,g1-xl3-p10,g1-xl3-p1,g1-xl2-p5,g1-xl2-p4,g1-xl2-p3,g1-xl2-p2,g1-xl2-p10,g1-xl2-p1,g1-m4-p5,g1-m4-p4,g1-m4-p3,g1-m4-p2,g1-m4-p10,g1-m4-p1,g1-m3-p5,g1-m3-p4,g1-m3-p3,g1-m3-p2,g1-m3-p10,g1-m3-p1,g1-m2-p5,g1-m2-p4,g1-m2-p3,g1-m2-p2,g1-m2-p10,g1-m2-p1,g1-l4-p5,g1-l4-p4,g1-l4-p3,g1-l4-p2,g1-l4-p10,g1-l4-p1,g1-l3-p5,g1-l3-p4,g1-l3-p3,g1-l3-p2,g1-l3-p10,g1-l3-p1,g1-l2-p5,g1-l2-p4,g1-l2-p3,g1-l2-p2,g1-l2-p10,g1-l2-p1
607.0,948.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,67887.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,148630.0,150066.0,607.0,607.0,148634.0,607.0,148636.0,148635.0,607.0,607.0,148635.0,607.0,148635.0,148636.0,607.0,607.0,148632.0,607.0,117814.0,117186.0,607.0,607.0,148635.0,607,120157.0,132101.0,607.0,607.0,148633.0,607.0,141588.0,142272.0,607.0,607.0,148633.0,607.0,113458.0,124179.0,607.0,607.0,150061.0,607.0,124852.0,123508.0,607.0,607.0,148637.0,607.0,143289.0,147017.0,607.0,607.0,148633.0,607.0
36897.0,22115.0,607.0,32868.0,607.0,2292.0,9602.0,33201.0,48338.0,19147.0,607.0,374723.0,118532.0,113797.0,109092.0,111431.0,110080.0,111429.0,27908.0,36898.0,36563.0,29171.0,30851.0,26484.0,30847.0,607.0,607.0,9711.0,607.0,21841.0,24800.0,20158.0,33538.0,26482.0,29168.0,32196.0,607.0,25812.0,15777.0,24804.0,11933.0,32530.0,607.0,2628.0,19820.0,34882.0,31188.0,28499.0,30847.0,352414.0,607.0,149021.0,150448.0,150064.0,31245.0,149012.0,24876.0,150277.0,149968.0,96041.0,69296.0,149016.0,607.0,149255.0,149619.0,148298.0,57597.0,149016.0,607.0,141462.0,83329.0,125659.0,607.0,149017.0,12407,149745.0,81631.0,114128.0,22589.0,149013.0,607.0,150442.0,150445.0,127013.0,77887.0,149016.0,607.0,129093.0,88160.0,135828.0,74171.0,150448.0,607.0,150007.0,69187.0,121592.0,47249.0,149015.0,17799.0,150448.0,150447.0,79978.0,82958.0,149016.0,607.0
91366.0,607.0,40715.0,47757.0,46452.0,110430.0,77238.0,117374.0,117110.0,607.0,365600.0,39818.0,170621.0,166906.0,167269.0,168596.0,170625.0,169273.0,77344.0,83593.0,84944.0,79829.0,84235.0,81844.0,85922.0,29930.0,119204.0,47829.0,101633.0,64090.0,74396.0,67127.0,76478.0,76098.0,74760.0,78835.0,62828.0,101779.0,67116.0,82170.0,50541.0,607.0,38693.0,111443.0,71873.0,80200.0,81194.0,78814.0,85922.0,103361.0,106064.0,150791.0,150788.0,150447.0,150250.0,149015.0,75633.0,150785.0,150788.0,150444.0,150401.0,149019.0,31278.0,150785.0,150788.0,150417.0,150367.0,149013.0,65041.0,150789.0,150447.0,146721.0,83970.0,149017.0,49527,150786.0,150449.0,150446.0,111892.0,149120.0,45438.0,150786.0,150783.0,150449.0,134829.0,149013.0,42736.0,150449.0,150789.0,607.0,100580.0,150790.0,46112.0,150790.0,150786.0,150450.0,121179.0,149016.0,53601.0,150787.0,150786.0,150430.0,133150.0,149015.0,32961.0
33396.0,8002.0,83864.0,607.0,75074.0,100324.0,80618.0,84096.0,110461.0,161841.0,77339.0,74632.0,170960.0,167585.0,167262.0,169950.0,169269.0,166904.0,78582.0,82747.0,84776.0,80381.0,82747.0,83763.0,85450.0,43497.0,100656.0,55441.0,607.0,61287.0,79027.0,68752.0,77677.0,74973.0,75648.0,81732.0,77609.0,607.0,607.0,35085.0,55115.0,146772.0,62489.0,34749.0,66037.0,83423.0,82748.0,80720.0,85450.0,607.0,607.0,150786.0,150787.0,150449.0,150448.0,149017.0,81635.0,150787.0,150785.0,150448.0,150448.0,149016.0,72279.0,150785.0,150788.0,150787.0,150448.0,149016.0,84282.0,150788.0,150449.0,607.0,111118.0,150514.0,607,150788.0,150451.0,150448.0,128411.0,150784.0,66934.0,150789.0,150789.0,150448.0,110784.0,149480.0,64548.0,150792.0,150788.0,150447.0,95532.0,150786.0,57103.0,150784.0,150784.0,150451.0,112821.0,150183.0,58194.0,150786.0,150785.0,150450.0,125023.0,149710.0,62120.0
607.0,248153.0,79939.0,158771.0,68750.0,607.0,75532.0,85789.0,607.0,607.0,77676.0,86127.0,168596.0,166229.0,163567.0,169948.0,166904.0,168597.0,77564.0,84100.0,84099.0,81732.0,85451.0,81731.0,84775.0,50743.0,16835.0,40952.0,115529.0,56208.0,73620.0,68414.0,76996.0,75310.0,74632.0,77677.0,113505.0,168256.0,55854.0,607.0,54172.0,94910.0,60276.0,68890.0,69429.0,81395.0,81397.0,80042.0,84775.0,235516.0,207802.0,151123.0,150790.0,150444.0,150451.0,150219.0,58917.0,151126.0,151122.0,150786.0,139939.0,150747.0,80278.0,151128.0,151123.0,150784.0,150452.0,149950.0,75531.0,150785.0,150787.0,150108.0,80276.0,151125.0,607,150787.0,150786.0,141973.0,82649.0,151125.0,57900.0,150791.0,150788.0,150448.0,115193.0,151128.0,58579.0,150787.0,150786.0,150447.0,607.0,150787.0,38579.0,150786.0,150785.0,150450.0,88754.0,151125.0,54509.0,150784.0,150790.0,150787.0,112145.0,151127.0,65023.0
185835.0,103366.0,65360.0,121278.0,68410.0,139192.0,78245.0,80380.0,135476.0,18188.0,85112.0,84775.0,166903.0,169267.0,167932.0,169949.0,166907.0,167917.0,78924.0,83761.0,85112.0,80045.0,83422.0,79364.0,85451.0,47054.0,607.0,40613.0,108771.0,57224.0,71929.0,66041.0,79366.0,74636.0,75984.0,79028.0,86803.0,607.0,54170.0,168258.0,40275.0,5006.0,52477.0,92546.0,69093.0,84096.0,80719.0,82066.0,85451.0,90183.0,607.0,151122.0,150787.0,150787.0,129092.0,151128.0,69766.0,151126.0,151124.0,150786.0,134175.0,151126.0,66378.0,151128.0,151124.0,150789.0,150786.0,151127.0,76888.0,151122.0,150787.0,150110.0,52818.0,151129.0,70448,151122.0,150787.0,150786.0,71465.0,151128.0,27393.0,150784.0,150789.0,150789.0,121294.0,151124.0,54512.0,150790.0,150786.0,150444.0,150112.0,150785.0,27731.0,151126.0,150789.0,136214.0,85024.0,151130.0,44679.0,150786.0,150783.0,150788.0,113159.0,151123.0,50104.0
96942.0,2640.0,72139.0,40494.0,69769.0,96944.0,78244.0,75311.0,55704.0,225379.0,83424.0,86128.0,169269.0,169614.0,164916.0,168596.0,119251.0,167579.0,78244.0,82069.0,84436.0,81056.0,83086.0,83423.0,84435.0,29426.0,141898.0,39935.0,607.0,57901.0,73620.0,67734.0,77678.0,77341.0,74975.0,78692.0,75311.0,164541.0,45356.0,84434.0,32815.0,124994.0,53832.0,81730.0,69089.0,80718.0,79367.0,80379.0,84435.0,607.0,142910.0,151127.0,151128.0,150789.0,135875.0,151126.0,61971.0,151130.0,151125.0,150786.0,137567.0,151128.0,66379.0,151128.0,151124.0,150787.0,150785.0,151127.0,75194.0,151129.0,150786.0,150450.0,75531.0,151127.0,607,151124.0,150789.0,124344.0,102313.0,151124.0,43662.0,150787.0,150789.0,150790.0,111126.0,151127.0,57563.0,150787.0,151128.0,150446.0,607.0,151126.0,39253.0,151126.0,150791.0,132145.0,101297.0,151128.0,35867.0,150790.0,150789.0,150788.0,124344.0,151122.0,55187.0
607.0,607.0,49089.0,607.0,66040.0,1288.0,77226.0,81057.0,72945.0,607.0,83763.0,84095.0,166229.0,169948.0,164908.0,168596.0,160141.0,167245.0,77227.0,82071.0,84436.0,82069.0,83423.0,84097.0,84774.0,26713.0,3654.0,38579.0,103703.0,64342.0,74636.0,63327.0,77675.0,75313.0,76325.0,79368.0,75984.0,2640.0,607.0,88157.0,48408.0,89504.0,60274.0,102690.0,68414.0,80042.0,81057.0,79366.0,84774.0,243295.0,607.0,151124.0,151124.0,150788.0,120280.0,151126.0,70109.0,151127.0,151127.0,150786.0,134857.0,151129.0,68073.0,151128.0,151125.0,151128.0,150790.0,151126.0,75534.0,151124.0,150782.0,140282.0,67737.0,151126.0,57900,151126.0,150788.0,141632.0,106380.0,151124.0,54172.0,151127.0,151126.0,150788.0,113836.0,151123.0,55867.0,150783.0,151121.0,150447.0,150111.0,151120.0,37900.0,151127.0,151124.0,124684.0,88070.0,151126.0,45358.0,151127.0,151121.0,150789.0,105358.0,151128.0,56546.0
99984.0,607.0,70110.0,198671.0,66380.0,136145.0,77906.0,22244.0,174002.0,607.0,84435.0,83761.0,171638.0,167583.0,164913.0,168259.0,163181.0,167916.0,78922.0,81055.0,83761.0,83083.0,83762.0,83085.0,83762.0,607.0,167578.0,46037.0,109111.0,53493.0,75650.0,67397.0,78690.0,75987.0,76663.0,79702.0,68551.0,607.0,80955.0,607.0,54510.0,11765.0,60615.0,53001.0,67397.0,80380.0,80719.0,80038.0,83762.0,92211.0,195632.0,151126.0,151125.0,150788.0,118245.0,151126.0,61970.0,151125.0,151130.0,150780.0,139598.0,151126.0,71805.0,151127.0,151125.0,151128.0,150791.0,151128.0,77904.0,151123.0,151123.0,70108.0,107059.0,151126.0,47393,151124.0,151126.0,134855.0,92483.0,151123.0,53155.0,151129.0,151123.0,150789.0,116211.0,151127.0,61630.0,151128.0,151125.0,142990.0,111460.0,151128.0,50782.0,151126.0,151126.0,150782.0,105024.0,151125.0,47733.0,151125.0,151126.0,150788.0,114178.0,151123.0,60614.0
82743.0,295345.0,68073.0,83761.0,68073.0,91871.0,75190.0,82069.0,47592.0,244645.0,83420.0,85450.0,168594.0,169951.0,165250.0,168594.0,167920.0,166569.0,78580.0,83421.0,82745.0,82410.0,84772.0,82071.0,84774.0,607.0,58748.0,53835.0,607.0,60613.0,75312.0,65361.0,74972.0,75989.0,75311.0,77677.0,79027.0,197662.0,36546.0,105728.0,43664.0,121949.0,48750.0,102689.0,68753.0,80379.0,81396.0,79704.0,84774.0,607.0,59087.0,151468.0,151126.0,151123.0,132140.0,151466.0,70447.0,151468.0,151465.0,151127.0,139940.0,151467.0,67054.0,151466.0,151465.0,151128.0,151125.0,151464.0,75190.0,151125.0,151127.0,101635.0,86040.0,151466.0,37221,151124.0,151126.0,151125.0,103330.0,151463.0,43665.0,151128.0,151125.0,150789.0,125699.0,151465.0,53495.0,151124.0,151129.0,111801.0,607.0,151127.0,607.0,151126.0,151127.0,148413.0,116888.0,151466.0,47733.0,151128.0,151126.0,151126.0,123330.0,151465.0,53833.0
607.0,96943.0,73160.0,90857.0,71799.0,7372.0,74855.0,87480.0,607.0,607.0,84774.0,83079.0,168599.0,168262.0,167599.0,169611.0,167924.0,164539.0,78241.0,83754.0,83761.0,84435.0,82747.0,81395.0,83422.0,80618.0,607.0,43663.0,106404.0,55869.0,72269.0,67392.0,78014.0,77338.0,73622.0,75308.0,21906.0,7033.0,23324.0,97615.0,48071.0,91533.0,57562.0,33397.0,68753.0,81396.0,82073.0,80719.0,83422.0,241600.0,21569.0,151464.0,151124.0,151127.0,150787.0,151467.0,62307.0,151468.0,151468.0,151126.0,136547.0,151462.0,67735.0,151465.0,151468.0,151125.0,151124.0,151465.0,73837.0,151466.0,151129.0,123667.0,71464.0,151467.0,28069,151468.0,151124.0,125023.0,99601.0,151467.0,49087.0,151125.0,151126.0,151122.0,111801.0,151466.0,61292.0,151126.0,151127.0,107738.0,86374.0,151126.0,62309.0,151465.0,151125.0,145698.0,67395.0,151462.0,44342.0,151130.0,151126.0,151126.0,117566.0,151465.0,58919.0
